19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699880818.189272;2023-11-13 14:06:57.821025;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699880852.4057443;2023-11-13 14:07:31.966229;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699880856.874927;2023-11-13 14:07:36.524544;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699881119.37246;2023-11-13 14:11:58.978598;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699881426.0778122;2023-11-13 14:17:05.689467;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699881495.6872468;2023-11-13 14:18:15.291362;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699881572.1334567;2023-11-13 14:19:31.756775;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699881787.575199;2023-11-13 14:23:07.192379;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699881836.7421637;2023-11-13 14:23:56.365442;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699881850.1948407;2023-11-13 14:24:09.824672;
user;pc;versione_python;name_program;timestamp;localtime;
19290;W11STAT-7-208;3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)];C:\Users\19290\Desktop\bastianello_federico_xml_commit\usbdview\package\ansic.py;1699881889.6514173;2023-11-13 14:24:49.220379;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700067277.8382673;2023-11-15 17:54:36.784176;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700067326.9037712;2023-11-15 17:55:26.288001;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700067559.2279012;2023-11-15 17:59:18.595986;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700067601.9560914;2023-11-15 18:00:01.324453;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700067920.1307778;2023-11-15 18:05:19.505927;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700304026.4018972;2023-11-18 11:40:10.223320;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700378406.0223377;2023-11-19 08:19:57.299987;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700378419.5246549;2023-11-19 08:20:18.421003;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700379027.4518502;2023-11-19 08:30:26.387528;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700379159.9462523;2023-11-19 08:32:38.862154;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700379516.5223255;2023-11-19 08:38:35.450526;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700379533.8835173;2023-11-19 08:38:52.819285;
user;pc;versione_python;name_program;timestamp;localtime;
fbast;LAPTOP-C9JC0TN4;3.11.0 (main, Oct 24 2022, 18:26:48) [MSC v.1933 64 bit (AMD64)];C:\Users\fbast\Desktop\bastianello_federico_usbdview\usbdview\bin\ansic.py;1700379591.963318;2023-11-19 08:39:50.883379;
user;pc;versione_python;name_program;timestamp;localtime;
